Title,Rate,Link,ID
Le Seigneur des Anneaux : La Guerre des Rohirrim,"7,8",https://www.imdb.com/title/tt14824600/?ref_=chtmvm_t_61,tt14824600
Mary Poppins,"7,8",https://www.imdb.com/title/tt0058331/?ref_=chtmvm_t_62,tt0058331
Harry Potter à l'école des sorciers,"7,7",https://www.imdb.com/title/tt0241527/?ref_=chtmvm_t_63,tt0241527
Wedding Nightmare,"6,9",https://www.imdb.com/title/tt7798634/?ref_=chtmvm_t_64,tt7798634
Emilia Pérez,"6,9",https://www.imdb.com/title/tt20221436/?ref_=chtmvm_t_65,tt20221436
Beetlejuice Beetlejuice,"6,8",https://www.imdb.com/title/tt2049403/?ref_=chtmvm_t_66,tt2049403
The Hunt,"6,6",https://www.imdb.com/title/tt8244784/?ref_=chtmvm_t_67,tt8244784
Trap,"5,9",https://www.imdb.com/title/tt26753003/?ref_=chtmvm_t_68,tt26753003
Bonhoeffer: Pastor. Spy. Assassin.,"7,0",https://www.imdb.com/title/tt26237514/?ref_=chtmvm_t_69,tt26237514
Blue et compagnie,"6,4",https://www.imdb.com/title/tt11152168/?ref_=chtmvm_t_70,tt11152168
Le silence de Mélodie,"7,4",https://www.imdb.com/title/tt5012320/?ref_=chtmvm_t_71,tt5012320
Longlegs,"6,7",https://www.imdb.com/title/tt23468450/?ref_=chtmvm_t_72,tt23468450
Abigail,"6,6",https://www.imdb.com/title/tt27489557/?ref_=chtmvm_t_73,tt27489557
The Best Christmas Pageant Ever,"7,3",https://www.imdb.com/title/tt2347285/?ref_=chtmvm_t_74,tt2347285
Les Évadés,"9,3",https://www.imdb.com/title/tt0111161/?ref_=chtmvm_t_75,tt0111161
